=== LAYOUT FOR PPR-137.3.pdf ===

--- Page 1 ---
Page size: Width=612, Height=1008

--- Lines ---

--- Rectangles ---
Rect: x0=22.2, y0=126.5, x1=22.7, y1=127.0, width=0.5, height=0.5
Rect: x0=22.2, y0=126.5, x1=22.7, y1=127.0, width=0.5, height=0.5
Rect: x0=22.7, y0=126.5, x1=215.8, y1=127.0, width=193.1, height=0.5
Rect: x0=215.8, y0=126.5, x1=216.3, y1=127.0, width=0.5, height=0.5
Rect: x0=216.3, y0=126.5, x1=395.7, y1=127.0, width=179.4, height=0.5
Rect: x0=395.7, y0=126.5, x1=396.2, y1=127.0, width=0.5, height=0.5
Rect: x0=396.2, y0=126.5, x1=589.4, y1=127.0, width=193.2, height=0.5
Rect: x0=589.4, y0=126.5, x1=589.9, y1=127.0, width=0.5, height=0.5
Rect: x0=589.4, y0=126.5, x1=589.9, y1=127.0, width=0.5, height=0.5
Rect: x0=22.2, y0=127.0, x1=22.7, y1=155.8, width=0.5, height=28.8
Rect: x0=215.8, y0=127.0, x1=216.3, y1=155.8, width=0.5, height=28.8
Rect: x0=395.7, y0=127.0, x1=396.2, y1=155.8, width=0.5, height=28.8
Rect: x0=589.4, y0=127.0, x1=589.9, y1=155.8, width=0.5, height=28.8
Rect: x0=22.2, y0=155.8, x1=22.7, y1=156.3, width=0.5, height=0.5
Rect: x0=22.7, y0=155.8, x1=215.8, y1=156.3, width=193.1, height=0.5
Rect: x0=215.8, y0=155.8, x1=216.3, y1=156.3, width=0.5, height=0.5
Rect: x0=216.3, y0=155.8, x1=395.7, y1=156.3, width=179.4, height=0.5
Rect: x0=395.7, y0=155.8, x1=396.2, y1=156.3, width=0.5, height=0.5
Rect: x0=396.2, y0=155.8, x1=589.4, y1=156.3, width=193.2, height=0.5
Rect: x0=589.4, y0=155.8, x1=589.9, y1=156.3, width=0.5, height=0.5
Rect: x0=22.2, y0=156.3, x1=22.7, y1=185.1, width=0.5, height=28.8
Rect: x0=395.7, y0=156.3, x1=396.2, y1=185.1, width=0.5, height=28.8
Rect: x0=589.4, y0=156.3, x1=589.9, y1=185.1, width=0.5, height=28.8
Rect: x0=22.2, y0=185.1, x1=22.7, y1=185.5, width=0.5, height=0.5
Rect: x0=22.7, y0=185.1, x1=395.7, y1=185.5, width=373.0, height=0.5
Rect: x0=395.7, y0=185.1, x1=396.2, y1=185.5, width=0.5, height=0.5
Rect: x0=396.2, y0=185.1, x1=589.4, y1=185.5, width=193.2, height=0.5
Rect: x0=589.4, y0=185.1, x1=589.9, y1=185.5, width=0.5, height=0.5
Rect: x0=22.2, y0=185.5, x1=22.7, y1=214.3, width=0.5, height=28.8
Rect: x0=395.7, y0=185.5, x1=396.2, y1=214.3, width=0.5, height=28.8
Rect: x0=589.4, y0=185.5, x1=589.9, y1=214.3, width=0.5, height=28.8
Rect: x0=22.8, y0=214.8, x1=211.2, y1=243.6, width=188.4, height=28.8
Rect: x0=27.8, y0=222.4, x1=206.1, y1=236.2, width=178.2, height=13.8
Rect: x0=211.8, y0=214.8, x1=263.1, y1=243.6, width=51.2, height=28.8
Rect: x0=216.9, y0=224.7, x1=257.9, y1=233.9, width=41.0, height=9.2
Rect: x0=263.6, y0=214.8, x1=314.8, y1=243.6, width=51.2, height=28.8
Rect: x0=268.7, y0=224.7, x1=309.7, y1=233.9, width=40.9, height=9.2
Rect: x0=315.3, y0=214.8, x1=350.8, y1=243.6, width=35.5, height=28.8
Rect: x0=320.4, y0=220.1, x1=345.7, y1=229.2, width=25.2, height=9.1
Rect: x0=320.4, y0=229.2, x1=345.7, y1=238.5, width=25.2, height=9.2
Rect: x0=351.3, y0=214.8, x1=418.3, y1=243.6, width=67.0, height=28.8
Rect: x0=356.5, y0=224.7, x1=413.1, y1=233.9, width=56.6, height=9.2
Rect: x0=418.9, y0=214.8, x1=589.3, y1=243.6, width=170.4, height=28.8
Rect: x0=423.9, y0=222.4, x1=584.1, y1=236.2, width=160.2, height=13.8
Rect: x0=22.2, y0=214.3, x1=22.7, y1=214.8, width=0.5, height=0.5
Rect: x0=22.7, y0=214.3, x1=211.4, y1=214.8, width=188.7, height=0.5
Rect: x0=211.4, y0=214.3, x1=211.9, y1=214.8, width=0.5, height=0.5
Rect: x0=211.8, y0=214.3, x1=263.1, y1=214.8, width=51.2, height=0.5
Rect: x0=263.1, y0=214.3, x1=263.6, y1=214.8, width=0.5, height=0.5
Rect: x0=263.6, y0=214.3, x1=314.8, y1=214.8, width=51.2, height=0.5
Rect: x0=314.8, y0=214.3, x1=315.3, y1=214.8, width=0.5, height=0.5
Rect: x0=315.3, y0=214.3, x1=350.8, y1=214.8, width=35.5, height=0.5
Rect: x0=350.8, y0=214.3, x1=351.3, y1=214.8, width=0.5, height=0.5
Rect: x0=351.3, y0=214.3, x1=395.7, y1=214.8, width=44.4, height=0.5
Rect: x0=395.7, y0=214.3, x1=396.2, y1=214.8, width=0.5, height=0.5
Rect: x0=396.2, y0=214.3, x1=418.4, y1=214.8, width=22.2, height=0.5
Rect: x0=418.4, y0=214.3, x1=418.9, y1=214.8, width=0.5, height=0.5
Rect: x0=418.9, y0=214.3, x1=589.4, y1=214.8, width=170.5, height=0.5
Rect: x0=589.4, y0=214.3, x1=589.9, y1=214.8, width=0.5, height=0.5
Rect: x0=22.2, y0=214.8, x1=22.7, y1=243.6, width=0.5, height=28.8
Rect: x0=211.4, y0=214.8, x1=211.9, y1=243.6, width=0.5, height=28.8
Rect: x0=263.1, y0=214.8, x1=263.6, y1=243.6, width=0.5, height=28.8
Rect: x0=314.8, y0=214.8, x1=315.3, y1=243.6, width=0.5, height=28.8
Rect: x0=350.8, y0=214.8, x1=351.3, y1=243.6, width=0.5, height=28.8
Rect: x0=418.4, y0=214.8, x1=418.9, y1=243.6, width=0.5, height=28.8
Rect: x0=589.4, y0=214.8, x1=589.9, y1=243.6, width=0.5, height=28.8
Rect: x0=22.2, y0=243.6, x1=22.7, y1=244.1, width=0.5, height=0.5
Rect: x0=22.7, y0=243.6, x1=211.4, y1=244.1, width=188.7, height=0.5
Rect: x0=211.4, y0=243.6, x1=211.9, y1=244.1, width=0.5, height=0.5
Rect: x0=211.8, y0=243.6, x1=263.1, y1=244.1, width=51.2, height=0.5
Rect: x0=263.1, y0=243.6, x1=263.6, y1=244.1, width=0.5, height=0.5
Rect: x0=263.6, y0=243.6, x1=314.8, y1=244.1, width=51.2, height=0.5
Rect: x0=314.8, y0=243.6, x1=315.3, y1=244.1, width=0.5, height=0.5
Rect: x0=315.3, y0=243.6, x1=350.8, y1=244.1, width=35.5, height=0.5
Rect: x0=350.8, y0=243.6, x1=351.3, y1=244.1, width=0.5, height=0.5
Rect: x0=351.3, y0=243.6, x1=418.4, y1=244.1, width=67.1, height=0.5
Rect: x0=418.4, y0=243.6, x1=418.9, y1=244.1, width=0.5, height=0.5
Rect: x0=418.9, y0=243.6, x1=589.4, y1=244.1, width=170.5, height=0.5
Rect: x0=589.4, y0=243.6, x1=589.9, y1=244.1, width=0.5, height=0.5
Rect: x0=22.2, y0=244.1, x1=22.7, y1=259.7, width=0.5, height=15.6
Rect: x0=211.4, y0=244.1, x1=211.9, y1=259.7, width=0.5, height=15.6
Rect: x0=263.1, y0=244.1, x1=263.6, y1=259.7, width=0.5, height=15.6
Rect: x0=314.8, y0=244.1, x1=315.3, y1=259.7, width=0.5, height=15.6
Rect: x0=350.8, y0=244.1, x1=351.3, y1=259.7, width=0.5, height=15.6
Rect: x0=418.4, y0=244.1, x1=418.9, y1=259.7, width=0.5, height=15.6
Rect: x0=589.4, y0=244.1, x1=589.9, y1=259.7, width=0.5, height=15.6
Rect: x0=22.2, y0=259.7, x1=22.7, y1=260.2, width=0.5, height=0.5
Rect: x0=22.7, y0=259.7, x1=211.4, y1=260.2, width=188.7, height=0.5
Rect: x0=211.4, y0=259.7, x1=211.9, y1=260.2, width=0.5, height=0.5
Rect: x0=211.8, y0=259.7, x1=263.1, y1=260.2, width=51.2, height=0.5
Rect: x0=263.1, y0=259.7, x1=263.6, y1=260.2, width=0.5, height=0.5
Rect: x0=263.6, y0=259.7, x1=314.8, y1=260.2, width=51.2, height=0.5
Rect: x0=314.8, y0=259.7, x1=315.3, y1=260.2, width=0.5, height=0.5
Rect: x0=315.3, y0=259.7, x1=350.8, y1=260.2, width=35.5, height=0.5
Rect: x0=350.8, y0=259.7, x1=351.3, y1=260.2, width=0.5, height=0.5
Rect: x0=351.3, y0=259.7, x1=418.4, y1=260.2, width=67.1, height=0.5
Rect: x0=418.4, y0=259.7, x1=418.9, y1=260.2, width=0.5, height=0.5
Rect: x0=418.9, y0=259.7, x1=589.4, y1=260.2, width=170.5, height=0.5
Rect: x0=589.4, y0=259.7, x1=589.9, y1=260.2, width=0.5, height=0.5
Rect: x0=22.2, y0=260.2, x1=22.7, y1=275.8, width=0.5, height=15.6
Rect: x0=211.4, y0=260.2, x1=211.9, y1=275.8, width=0.5, height=15.6
Rect: x0=263.1, y0=260.2, x1=263.6, y1=275.8, width=0.5, height=15.6
Rect: x0=314.8, y0=260.2, x1=315.3, y1=275.8, width=0.5, height=15.6
Rect: x0=350.8, y0=260.2, x1=351.3, y1=275.8, width=0.5, height=15.6
Rect: x0=418.4, y0=260.2, x1=418.9, y1=275.8, width=0.5, height=15.6
Rect: x0=589.4, y0=260.2, x1=589.9, y1=275.8, width=0.5, height=15.6
